COD_ITEM        MetEst
325.023.001     18.720 
325.025.001     2.448 
325.025.002     64 
325.026.001     4.480 
304.002.003     0 
325.027.001     1.248 
325.028.001     11.008 
325.028.002     2.240 
325.031.001     160 
325.031.002     176 
325.032.001     4.320 
325.032.002     2.176 
325.021.002     720 
325.021.003     224 
325.033.001     0 
325.029.003     3.840 
325.001.004     22.400 
325.016.005     12.144 
325.016.006     416 
325.016.007     192 
325.016.008     6.560 
325.034.001     0 
325.035.001     12.960 
325.035.002     0 
325.016.010     3.584 
325.016.009     336 
325.038.001     3.360 
325.039.001     544 
325.040.001     8.480 
325.040.003     160 
002.000.009     0 
325.042.002     11.120 
325.042.003     3.216 
325.042.004     128 
325.045.001     1.920 
325.028.003     15.200 
005.000.066     64 
230.001.019     1.680 
002.000.068     1.440 
005.000.024     6.240 
021.001.024     1.920 
303.007.002     2.880 
303.002.004     2.880 
002.000.010     8.096 
002.000.011     96 
022.001.012     2.880 
021.004.006     32 
002.000.134     144 
301.004.002     304 
002.000.082     12.672 
302.008.001     22.320 
008.001.001     3.088 
325.003.001     0 
002.000.012     3.600 
005.000.100     5.840 
002.000.045     4.448 
022.001.009     480 
005.000.020     6.320 
005.000.022     352 
005.000.015     34.992 
005.000.014     3.760 
005.000.004     2.880 
021.001.025     2.608 
011.001.004     0 
021.001.071     32 
002.000.135     48 
313.001.002     160 
010.001.005     0 
002.000.013     688 
002.000.127     832 
007.000.004     112 
005.000.001     9.264 
002.000.014     5.440 
001.000.003     640 
021.001.030     37.008 
323.001.001     80.656 
002.000.015     1.680 
009.000.009     0 
307.001.001     7.200 
021.001.094     2.640 
011.001.002     208 
002.000.144     64 
021.001.061     288 
001.000.016     352 
304.001.003     480 
002.000.098     16 
303.003.001     6.240 
009.000.008     32 
005.000.002     5.920 
005.000.003     5.600 
005.000.032     32 
307.001.002     6.720 
002.000.060     272 
005.000.013     16.560 
002.000.019     10.480 
003.000.001     320 
023.001.001     9.840 
003.000.016     5.040 
005.000.006     2.960 
001.000.025     656 
001.000.004     0 
021.001.013     32 
002.000.020     176 
002.000.130     656 
021.001.012     11.040 
050.001.005     112 
005.000.011     3.360 
002.000.096     160 
301.004.001     592 
021.001.060     304 
002.000.115     96 
327.001.002     400 
327.001.001     3.840 
022.001.002     3.264 
005.000.037     1.920 
005.000.009     1.136 
308.001.002     2.688 
009.000.001     0 
021.001.032     6.240 
009.000.011     9.440 
021.001.033     15.440 
002.000.100     64 
010.001.003     528 
010.001.004     13.744 
002.000.067     400 
330.001.002     0 
003.000.002     0 
001.000.006     11.520 
002.000.023     1.200 
008.001.007     576 
008.001.008     5.760 
008.001.005     2.160 
002.000.024     64 
002.000.025     1.760 
002.000.026     0 
002.000.059     32 
002.000.027     432 
001.000.008     6.960 
002.000.058     21.664 
002.000.039     64 
008.001.002     0 
021.001.058     144 
002.000.028     96 
005.000.025     144 
002.000.073     4.576 
002.000.047     48 
002.000.140     368 
005.000.028     5.840 
002.000.141     80 
012.001.001     25.968 
005.000.080     16 
302.004.003     3.600 
030.001.007     6.576 
002.000.043     224 
002.000.031     4.320 
021.001.063     1.840 
303.006.004     960 
011.001.001     0 
325.014.001     16 
002.000.132     64 
002.000.032     0 
313.001.001     192 
010.001.002     480 
308.002.001     14.080 
007.000.001     1.440 
005.000.007     4.576 
001.000.011     4.160 
002.000.099     112 
002.000.033     2.000 
007.000.002     144 
005.000.033     50.896 
002.000.056     512 
222.001.002     0 
222.001.001     208 
002.000.049     0 
021.001.095     96 
009.000.002     64 
002.000.036     32 
002.000.035     960 
002.000.037     64 
002.000.046     5.808 
002.000.038     4.768 
308.003.001     16 
006.000.002     3.680 
308.001.001     2.160 
315.001.002     128 
013.001.001     0 
005.000.021     240 
304.001.004     960 
230.001.001     4.496 
325.023.002     400 
002.000.119     144 
325.019.006     0 
325.024.001     0 
313.004.003     0 
005.000.083     0 
325.034.002     0 
325.002.003     0 
228.001.011     16 
021.001.064     0 
000.001.002     0 
021.001.110     0 
021.001.099     0 
325.019.005     48 
325.001.005     320 
005.000.092     0 
021.004.008     0 
021.001.096     0 
315.003.001     0 
021.001.100     0 
315.001.003     0 
230.001.014     0 
301.001.005     16 
022.001.014     0 
005.001.001     0 
001.000.024     0 
325.002.001     0 
329.001.001     0 
324.001.001     160 
021.001.098     0 
311.002.003     0 
325.013.001     0 
325.050.001     0 
010.001.010     0 
021.002.001     64 
325.001.002     32 
305.002.004     2.000 
325.016.001     0 
021.001.073     480 
328.001.001     0 
022.001.013     0 
230.001.016     0 
228.001.004     400 
003.000.018     0 
021.001.065     0 
230.001.003     192 
306.002.004     0 
306.001.005     0 
325.001.003     0 
021.001.112     0 
325.048.001     0 
321.001.097     0 
325.048.002     16 
040.001.001     0 
325.011.001     0 
325.008.001     0 
010.001.009     0 
563.001.002     0 
325.005.001     0 
022.001.015     0 
311.002.005     32 
325.021.001     0 
010.001.011     0 
021.001.088     16 
329.003.001     0 
325.004.002     0 
311.002.006     0 
330.001.001     0 
021.001.035     208 
311.001.022     0 
311.001.012     16 
311.001.029     0 
311.001.004     32 
311.001.005     32 
311.001.015     16 
311.001.006     16 
311.001.011     0 
311.001.023     0 
325.012.001     96 
021.001.072     704 
326.001.001     0 
315.002.002     0 
325.007.001     0 
021.001.101     0 
021.001.109     0 
