COD_ITEM         Estoque       MetEst      
325.023.001      18.970        18.720 
325.025.001      2.655        2.448 
325.025.002      30        64 
325.026.001      7.890        4.480 
304.002.003      20        0 
325.027.001      1.962        1.248 
325.028.001      5.975        11.008 
325.028.002      1.440        2.240 
325.031.001      75        160 
325.031.002      83        176 
325.032.001      4.160        4.320 
325.032.002      1.949        2.176 
325.021.002      786        720 
325.021.003      277        224 
325.033.001      0        0 
325.029.003      4.090        3.840 
325.001.004      10.350        22.400 
325.016.005      10.057        12.144 
325.016.006      356        416 
325.016.007      188        192 
325.016.008      5.757        6.560 
325.034.001      0        0 
325.035.001      5.790        12.960 
325.035.002      750        0 
325.016.010      4.817        3.584 
325.016.009      479        336 
325.038.001      4.420        3.360 
325.039.001      495        544 
325.040.001      10.050        8.480 
325.040.003      185        160 
002.000.009      0        0 
325.042.002      4.880        11.120 
325.042.003      3.159        3.216 
325.042.004      141        128 
325.045.001      2.203        1.920 
325.028.003      1.860        15.200 
005.000.066      57        64 
230.001.019      2.310        1.680 
002.000.068      1.230        1.440 
005.000.024      4.980        6.240 
021.001.024      1.350        1.920 
303.007.002      3.150        2.880 
303.002.004      1.080        2.880 
002.000.010      9.897        8.096 
002.000.011      131        96 
022.001.012      1.783        2.880 
021.004.006      6        32 
002.000.134      2        144 
301.004.002      510        304 
002.000.082      12.680        12.672 
302.008.001      24.275        22.320 
008.001.001      1.240        3.088 
325.003.001      18        0 
002.000.012      3.250        3.600 
005.000.100      4.320        5.840 
002.000.045      4.129        4.448 
022.001.009      515        480 
005.000.020      7.810        6.320 
005.000.022      298        352 
005.000.015      28.277        34.992 
005.000.014      3.870        3.760 
005.000.004      2.180        2.880 
021.001.025      2.595        2.608 
011.001.004      10        0 
021.001.071      21        32 
002.000.135      32        48 
313.001.002      11        160 
010.001.005      0        0 
002.000.013      659        688 
002.000.127      586        832 
007.000.004      124        112 
005.000.001      3.756        9.264 
002.000.014      5.710        5.440 
001.000.003      2.070        640 
021.001.030      13.223        37.008 
323.001.001      62.036        80.656 
002.000.015      1.306        1.680 
009.000.009      69        0 
307.001.001      6.270        7.200 
021.001.094      3.240        2.640 
011.001.002      207        208 
002.000.144      130        64 
021.001.061      149        288 
001.000.016      360        352 
304.001.003      509        480 
002.000.098      15        16 
303.003.001      5.746        6.240 
009.000.008      36        32 
005.000.002      5.570        5.920 
005.000.003      5.360        5.600 
005.000.032      19        32 
307.001.002      6.750        6.720 
002.000.060      206        272 
005.000.013      13.675        16.560 
002.000.019      5.000        10.480 
003.000.001      600        320 
023.001.001      5.400        9.840 
003.000.016      3.940        5.040 
005.000.006      2.860        2.960 
001.000.025      3.468        656 
001.000.004      1.440        0 
021.001.013      27        32 
002.000.020      190        176 
002.000.130      104        656 
021.001.012      5.340        11.040 
050.001.005      305        112 
005.000.011      1.510        3.360 
002.000.096      62        160 
301.004.001      460        592 
021.001.060      358        304 
002.000.115      68        96 
327.001.002      4.290        400 
327.001.001      5.430        3.840 
022.001.002      1.395        3.264 
005.000.037      1.610        1.920 
005.000.009      720        1.136 
308.001.002      2.183        2.688 
009.000.001      40        0 
021.001.032      7.780        6.240 
009.000.011      8.345        9.440 
021.001.033      15.679        15.440 
002.000.100      15        64 
010.001.003      887        528 
010.001.004      18.063        13.744 
002.000.067      315        400 
330.001.002      14        0 
003.000.002      500        0 
001.000.006      5.940        11.520 
002.000.023      1.330        1.200 
008.001.007      778        576 
008.001.008      3.090        5.760 
008.001.005      1.420        2.160 
002.000.024      62        64 
002.000.025      1.752        1.760 
002.000.026      102        0 
002.000.059      42        32 
002.000.027      551        432 
001.000.008      6.630        6.960 
002.000.058      14.270        21.664 
002.000.039      69        64 
008.001.002      0        0 
021.001.058      73        144 
002.000.028      58        96 
005.000.025      740        144 
002.000.073      4.540        4.576 
002.000.047      1.925        48 
002.000.140      392        368 
005.000.028      7.100        5.840 
002.000.141      110        80 
012.001.001      14.792        25.968 
005.000.080      1        16 
302.004.003      2.700        3.600 
030.001.007      224        6.576 
002.000.043      328        224 
002.000.031      4.090        4.320 
021.001.063      1.930        1.840 
303.006.004      1.030        960 
011.001.001      540        0 
325.014.001      7        16 
002.000.132      79        64 
002.000.032      1        0 
313.001.001      91        192 
010.001.002      599        480 
308.002.001      20.260        14.080 
007.000.001      920        1.440 
005.000.007      1.916        4.576 
001.000.011      4.580        4.160 
002.000.099      49        112 
002.000.033      1.068        2.000 
007.000.002      187        144 
005.000.033      37.859        50.896 
002.000.056      432        512 
222.001.002      570        0 
222.001.001      660        208 
002.000.049      0        0 
021.001.095      146        96 
009.000.002      91        64 
002.000.036      15        32 
002.000.035      680        960 
002.000.037      93        64 
002.000.046      7.737        5.808 
002.000.038      4.760        4.768 
308.003.001      870        16 
006.000.002      4.620        3.680 
308.001.001      1.795        2.160 
315.001.002      103        128 
013.001.001      0        0 
005.000.021      190        240 
304.001.004      1.800        960 
230.001.001      3.568        4.496 
325.023.002      430        400 
002.000.119      90        144 
325.019.006      0        0 
325.024.001      11        0 
313.004.003      0        0 
005.000.083      0        0 
325.034.002      0        0 
325.002.003      0        0 
228.001.011      0        16 
021.001.064      0        0 
000.001.002      0        0 
021.001.110      0        0 
021.001.099      0        0 
325.019.005      61        48 
325.001.005      0        320 
005.000.092      0        0 
021.004.008      0        0 
021.001.096      2        0 
315.003.001      0        0 
021.001.100      0        0 
315.001.003      1        0 
230.001.014      0        0 
301.001.005      0        16 
022.001.014      0        0 
005.001.001      60        0 
001.000.024      0        0 
325.002.001      0        0 
329.001.001      0        0 
324.001.001      150        160 
021.001.098      0        0 
311.002.003      0        0 
325.013.001      0        0 
325.050.001      0        0 
010.001.010      0        0 
021.002.001      30        64 
325.001.002      210        32 
305.002.004      3.160        2.000 
325.016.001      0        0 
021.001.073      390        480 
328.001.001      0        0 
022.001.013      0        0 
230.001.016      0        0 
228.001.004      120        400 
003.000.018      0        0 
021.001.065      18        0 
230.001.003      113        192 
306.002.004      0        0 
306.001.005      0        0 
325.001.003      30        0 
021.001.112      0        0 
325.048.001      0        0 
321.001.097      0        0 
325.048.002      1.755        16 
040.001.001      0        0 
325.011.001      9        0 
325.008.001      0        0 
010.001.009      0        0 
563.001.002      1        0 
325.005.001      0        0 
022.001.015      0        0 
311.002.005      18        32 
325.021.001      43        0 
010.001.011      0        0 
021.001.088      0        16 
329.003.001      0        0 
325.004.002      60        0 
311.002.006      0        0 
330.001.001      0        0 
021.001.035      54        208 
311.001.022      0        0 
311.001.012      8        16 
311.001.029      0        0 
311.001.004      6        32 
311.001.005      2        32 
311.001.015      0        16 
311.001.006      5        16 
311.001.011      0        0 
311.001.023      0        0 
325.012.001      150        96 
021.001.072      888        704 
326.001.001      0        0 
315.002.002      0        0 
325.007.001      0        0 
021.001.101      0        0 
021.001.109      0        0 
050.001.004      0        0 
003.000.017      480        0 
230.001.012      370        192 
011.001.006      1.770        1.920 
325.012.002      0        16 
325.044.001      0        0 
228.001.001      240        96 
228.001.010      0        0 
228.001.006      0        0 
021.001.023      180        96 
325.019.002      0        0 
311.002.002      6        0 
056.002.001      0        0 
230.001.013      0        0 
311.001.021      0        0 
315.002.001      0        0 
001.000.020      0        0 
306.001.002      3.390        3.040 
012.001.002      430        1.040 
325.016.003      3        0 
021.001.107      0        0 
012.001.004      0        0 
021.001.074      28        0 
030.001.001      0        0 
005.000.082      0        0 
005.000.064      540        992 
303.006.001      0        0 
325.053.001      30        16 
325.010.001      30        0 
302.004.001      1.516        4.480 
021.001.103      0        0 
001.000.017      0        0 
100.001.001      100        32 
325.009.001      0        0 
325.009.002      0        0 
228.001.008      0        16 
228.001.007      67        32 
005.000.016      0        0 
055.001.002      120        240 
303.007.005      0        0 
055.001.001      240        272 
325.017.001      0        0 
305.002.007      0        0 
079.001.003      0        0 
325.047.001      0        0 
021.001.113      0        0 
325.053.002      60        16 
325.004.005      47        0 
230.001.018      8        16 
021.001.028      0        0 
325.052.001      10        0 
325.046.001      0        0 
325.028.005      0        0 
021.001.091      0        0 
021.001.090      710        1.296 
325.001.001      240        48 
325.004.001      0        0 
313.001.003      0        0 
311.002.009      8        0 
311.002.001      0        0 
306.001.004      0        0 
005.000.068      1.254        2.032 
302.004.006      0        0 
325.016.002      0        0 
230.001.015      0        0 
311.001.002      1        0 
230.001.017      0        0 
325.004.003      0        0 
311.002.004      0        0 
325.002.002      0        0 
325.004.004      255        1.392 
325.027.002      250        560 
325.030.001      1.570        3.200 
325.029.002      58        32 
301.001.002      21        0 
325.016.011      50        688 
325.040.002      465        1.248 
325.042.001      1.091        1.600 
325.042.005      330        448 
021.001.097      0        0 
002.000.138      475        272 
002.000.137      51        48 
002.000.110      0        64 
002.000.106      600        3.200 
002.000.122      34        1.216 
002.000.111      570        1.008 
302.008.003      150        224 
002.000.114      1.200        3.200 
021.001.115      0        0 
022.001.006      0        0 
002.000.105      550        1.600 
002.000.113      2.200        3.200 
002.000.083      3.300        4.800 
002.000.116      0        800 
002.000.086      994        1.600 
002.000.085      0        0 
002.000.092      95        192 
002.000.088      45        352 
022.001.001      240        192 
002.000.143      220        144 
002.000.103      150        240 
005.000.048      140        144 
002.000.090      119        176 
002.000.091      385        320 
022.001.016      2        0 
005.000.053      85        48 
041.001.005      0        0 
009.000.005      63        96 
325.016.004      32        0 
002.000.093      90        0 
002.000.048      69        192 
304.002.002      200        256 
306.001.003      1.300        2.320 
002.000.094      0        0 
030.001.008      7        0 
302.008.002      0        0 
325.029.001      63        16 
325.033.002      86        32 
325.037.001      100        0 
005.000.093      42        16 
002.000.109      32        0 
002.000.108      24        0 
005.000.044      58        64 
021.001.057      50        0 
005.000.045      112        80 
005.000.091      15        0 
008.001.009      12        0 
002.000.084      44        0 
002.000.087      69        48 
005.000.090      9        16 
005.000.047      79        64 
005.000.046      7        0 
005.000.056      21        48 
005.000.060      42        16 
001.001.001      5        0 
005.000.036      49        48 
021.001.053      59        0 
001.000.015      20        16 
008.001.006      45        16 
005.000.102      106        64 
005.000.054      0        0 
005.000.049      104        32 
005.000.098      21        80 
005.000.059      4        0 
005.000.061      25        16 
005.000.062      47        16 
005.000.079      77        48 
001.001.007      101        128 
005.000.050      0        0 
005.000.051      314        208 
008.001.003      19        16 
005.000.055      14        16 
002.000.095      62        16 
321.002.001      52        48 
001.001.006      57        80 
005.000.052      681        976 
321.003.001      1.935        8.400 
321.003.005      5        0 
313.004.005      0        16 
321.003.002      68        48 
321.003.007      2        0 
321.003.003      0        0 
021.001.116      0        0 
321.003.006      0        0 
321.001.191      178        1.920 
321.001.222      0        0 
321.001.230      28        32 
321.001.457      0        0 
008.001.010      63        32 
321.001.392      300        0 
023.001.002      10        0 
023.001.003      0        0 
335.001.001      0        0 
021.001.066      1.980        5.120 
021.001.068      542        1.584 
021.001.069      686        1.168 
320.002.004      1.661        1.744 
021.001.106      401        384 
301.002.004      220        240 
301.002.003      230        160 
301.002.005      0        544 
325.005.002      121        1.472 
003.000.006      0        1.088 
003.000.004      79        80 
325.005.003      79        128 
003.000.005      33        32 
003.000.007      -8        112 
300.001.002      8.127        400 
300.001.004      6.594        1.120 
300.001.003      5.292        416 
005.000.063      5.570        2.880 
300.001.005      630        624 
